workload,system,cohort_path,run_id,seed,mode,N,tenant_id,t_start,t_end,concurrent_runtime,internal_runtime,figure_of_merit,fom_name,fixed_work_units,cpu_s,max_rss_kib,exit_status,correctness_status,sospechoso,derivacion
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N2/sync/seed04,xsbench_campaign/results/xsbench/rdma_zc/N2/sync/seed04,04,sync,2,1,1785286660.3957162,1785286686.9012978,26.505582,24.446,24543620.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N2/sync/seed00,xsbench_campaign/results/xsbench/rdma_zc/N2/sync/seed00,00,sync,2,0,1785286438.6875145,1785286465.2841854,26.596671,24.493,24496680.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N2/sync/seed00,xsbench_campaign/results/xsbench/rdma_zc/N2/sync/seed00,00,sync,2,1,1785286438.687964,1785286465.287551,26.599587,12.293,48809095.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed02,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed02,02,sync,8,3,1785285635.263387,1785285738.3982027,103.134816,61.889,9694742.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed02,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed02,02,sync,8,5,1785285635.2635086,1785285737.915777,102.652268,50.43,11897594.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed02,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed02,02,sync,8,2,1785285635.2630546,1785285737.9374409,102.674386,62.992,9525013.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed02,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed02,02,sync,8,4,1785285635.2632532,1785285738.5004573,103.237204,49.38,12150631.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed02,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed02,02,sync,8,0,1785285635.2629511,1785285738.5696554,103.306704,24.653,24338241.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed02,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed02,02,sync,8,7,1785285635.263473,1785285737.9383757,102.674903,87.465,6859924.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed02,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed02,02,sync,8,1,1785285635.262491,1785285738.5681374,103.305646,49.38,12150631.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed02,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed02,02,sync,8,6,1785285635.263279,1785285739.007048,103.743769,12.779,46952849.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
