system,N,seed,cohort,tenant_id,runtime_s,wall_s,lookups_per_s,normalized_progress,slowdown
rdma,2,04,xsbench_campaign/results/xsbench/rdma/N2/sync/seed04,1,24.781,27.199858,24211875.0,0.4839,2.0665
rdma,4,02,xsbench_campaign/results/xsbench/rdma/N4/sync/seed02,0,25.091,34.16643,23913310.0,0.4779,2.0923
rdma,4,02,xsbench_campaign/results/xsbench/rdma/N4/sync/seed02,1,12.67,34.462901,47357054.0,0.9465,1.0565
rdma,4,02,xsbench_campaign/results/xsbench/rdma/N4/sync/seed02,2,12.307,59.70739,48752076.0,0.9744,1.0263
rdma,4,02,xsbench_campaign/results/xsbench/rdma/N4/sync/seed02,3,24.693,59.703096,24298766.0,0.4856,2.0591
rdma,4,03,xsbench_campaign/results/xsbench/rdma/N4/sync/seed03,0,36.893,52.348529,16263328.0,0.325,3.0765
rdma,4,03,xsbench_campaign/results/xsbench/rdma/N4/sync/seed03,1,49.402,52.341856,12145247.0,0.2427,4.1196
rdma,4,03,xsbench_campaign/results/xsbench/rdma/N4/sync/seed03,2,36.893,52.394187,16263322.0,0.325,3.0765
rdma,4,03,xsbench_campaign/results/xsbench/rdma/N4/sync/seed03,3,36.893,52.496072,16263294.0,0.325,3.0765
rdma,4,04,xsbench_campaign/results/xsbench/rdma/N4/sync/seed04,0,36.94,52.803327,16242441.0,0.3246,3.0804
rdma,4,04,xsbench_campaign/results/xsbench/rdma/N4/sync/seed04,1,36.94,52.757631,16242459.0,0.3246,3.0804
rdma,4,04,xsbench_campaign/results/xsbench/rdma/N4/sync/seed04,2,49.349,52.751993,12158381.0,0.243,4.1152
rdma,4,04,xsbench_campaign/results/xsbench/rdma/N4/sync/seed04,3,36.94,53.166194,16242464.0,0.3246,3.0804
rdma,8,00,xsbench_campaign/results/xsbench/rdma/N8/sync/seed00,0,12.714,89.900745,47191693.0,0.9432,1.0602
rdma,8,00,xsbench_campaign/results/xsbench/rdma/N8/sync/seed00,1,37.369,90.013615,16056300.0,0.3209,3.1162
rdma,8,00,xsbench_campaign/results/xsbench/rdma/N8/sync/seed00,2,12.373,103.976052,48491882.0,0.9692,1.0318
rdma,8,00,xsbench_campaign/results/xsbench/rdma/N8/sync/seed00,3,25.019,89.967796,23981402.0,0.4793,2.0863
