workload,system,N,lambda_total,label,rep,stable,tenant,requests,completed,timeouts,failed,completion_fraction,offered_output_tokens,completed_output_tokens,delivered_output_tokens,token_service_fraction,slo_1s_fraction,slo_5s_fraction,timeout_fraction,ttft_p50,ttft_p95,ttft_p99,tpot_p50,offered_share,service_share,share_normalizada
llama7b,gusto,8,8.0,mt_ucx_n8_l8,3,UNSTABLE,http://127.0.0.1:8206,37,9,28,28,0.24324324324324326,4736,1152,1152,0.24324324324324326,0.0,0.0,0.7567567567567568,24309.352069161832,25755.72695489973,25755.72695489973,36.18528731313982,0.12052117263843648,0.1323529411764706,1.0981717011128775
llama7b,gusto,8,8.0,mt_ucx_n8_l8,3,UNSTABLE,http://127.0.0.1:8207,47,7,40,40,0.14893617021276595,6016,896,896,0.14893617021276595,0.0,0.0,0.851063829787234,23486.11807404086,25027.518338989466,25027.518338989466,41.315244400771114,0.15309446254071662,0.10294117647058823,0.6724030037546933
llama7b,gusto,8,8.0,mt_ucx_n8_l8,3,UNSTABLE,http://127.0.0.1:8208,34,9,25,25,0.2647058823529412,4352,1152,1152,0.2647058823529412,0.0,0.0,0.7352941176470589,21923.662464134395,24937.219872139394,24937.219872139394,29.849495526080524,0.11074918566775244,0.1323529411764706,1.1950692041522493
llama7b,nativo,8,8.0,mtbm_n8_l8,1,UNSTABLE,http://127.0.0.1:8301,41,6,35,35,0.14634146341463414,5248,768,768,0.14634146341463414,0.0,0.0,0.8536585365853658,24401.089097373188,25066.42296910286,25066.42296910286,65.85507856417946,0.1331168831168831,0.12,0.9014634146341464
llama7b,nativo,8,8.0,mtbm_n8_l8,1,UNSTABLE,http://127.0.0.1:8302,29,6,23,23,0.20689655172413793,3712,768,768,0.20689655172413793,0.0,0.034482758620689655,0.7931034482758621,23773.36000930518,24758.888830896467,24758.888830896467,66.0800288328681,0.09415584415584416,0.12,1.2744827586206895
llama7b,nativo,8,8.0,mtbm_n8_l8,1,UNSTABLE,http://127.0.0.1:8303,31,7,24,24,0.22580645161290322,3968,896,896,0.22580645161290322,0.03225806451612903,0.03225806451612903,0.7741935483870968,22381.178357172757,24919.628030154854,24919.628030154854,65.81086674925145,0.10064935064935066,0.14,1.390967741935484
llama7b,nativo,8,8.0,mtbm_n8_l8,1,UNSTABLE,http://127.0.0.1:8304,43,6,37,37,0.13953488372093023,5504,768,768,0.13953488372093023,0.0,0.0,0.8604651162790697,23753.03761102259,24965.629254002124,24965.629254002124,65.96139261469715,0.1396103896103896,0.12,0.8595348837209302
llama7b,nativo,8,8.0,mtbm_n8_l8,1,UNSTABLE,http://127.0.0.1:8305,45,6,39,39,0.13333333333333333,5760,768,768,0.13333333333333333,0.0,0.0,0.8666666666666667,23962.756553664804,24842.54657709971,24842.54657709971,66.1943871344579,0.1461038961038961,0.12,0.8213333333333334
llama7b,nativo,8,8.0,mtbm_n8_l8,1,UNSTABLE,http://127.0.0.1:8306,38,7,31,31,0.18421052631578946,4864,896,896,0.18421052631578946,0.02631578947368421,0.02631578947368421,0.8157894736842105,22304.765317123383,25058.04122192785,25058.04122192785,65.87724059849508,0.12337662337662338,0.14,1.1347368421052633
llama7b,nativo,8,8.0,mtbm_n8_l8,1,UNSTABLE,http://127.0.0.1:8307,47,6,41,41,0.1276595744680851,6016,768,768,0.1276595744680851,0.0,0.0,0.8723404255319149,24316.103145014495,25055.959505960345,25055.959505960345,66.19533963912116,0.1525974025974026,0.12,0.7863829787234042
llama7b,nativo,8,8.0,mtbm_n8_l8,1,UNSTABLE,http://127.0.0.1:8308,34,6,28,28,0.17647058823529413,4352,768,768,0.17647058823529413,0.0,0.0,0.8235294117647058,21719.73253879696,24738.81284892559,24738.81284892559,66.16146334879629,0.11038961038961038,0.12,1.0870588235294119
llama7b,nativo,8,8.0,mtbm_n8_l8,2,UNSTABLE,http://127.0.0.1:8301,41,6,35,35,0.14634146341463414,5248,768,768,0.14634146341463414,0.0,0.0,0.8536585365853658,24300.103839021176,25000.590125098825,25000.590125098825,66.23254945560352,0.1331168831168831,0.12,0.9014634146341464
llama7b,nativo,8,8.0,mtbm_n8_l8,2,UNSTABLE,http://127.0.0.1:8302,29,6,23,23,0.20689655172413793,3712,768,768,0.20689655172413793,0.0,0.034482758620689655,0.7931034482758621,23749.208628665656,25066.37558992952,25066.37558992952,66.02293177412486,0.09415584415584416,0.12,1.2744827586206895
llama7b,nativo,8,8.0,mtbm_n8_l8,2,UNSTABLE,http://127.0.0.1:8303,31,7,24,24,0.22580645161290322,3968,896,896,0.22580645161290322,0.03225806451612903,0.03225806451612903,0.7741935483870968,22339.239957742393,24888.93105695024,24888.93105695024,65.75743775580108,0.10064935064935066,0.14,1.390967741935484
llama7b,nativo,8,8.0,mtbm_n8_l8,2,UNSTABLE,http://127.0.0.1:8304,43,6,37,37,0.13953488372093023,5504,768,768,0.13953488372093023,0.0,0.0,0.8604651162790697,23758.646707050502,24932.881948072463,24932.881948072463,66.12375101411905,0.1396103896103896,0.12,0.8595348837209302
llama7b,nativo,8,8.0,mtbm_n8_l8,2,UNSTABLE,http://127.0.0.1:8305,45,6,39,39,0.13333333333333333,5760,768,768,0.13333333333333333,0.0,0.0,0.8666666666666667,23994.97362971306,24797.305908054113,24797.305908054113,66.22379532773195,0.1461038961038961,0.12,0.8213333333333334
llama7b,nativo,8,8.0,mtbm_n8_l8,2,UNSTABLE,http://127.0.0.1:8306,38,7,31,31,0.18421052631578946,4864,896,896,0.18421052631578946,0.02631578947368421,0.02631578947368421,0.8157894736842105,22280.53985023871,25027.469573076814,25027.469573076814,65.77277963790368,0.12337662337662338,0.14,1.1347368421052633
llama7b,nativo,8,8.0,mtbm_n8_l8,2,UNSTABLE,http://127.0.0.1:8307,47,6,41,41,0.1276595744680851,6016,768,768,0.1276595744680851,0.0,0.0,0.8723404255319149,24247.832113411278,25019.30111506954,25019.30111506954,66.11900001500301,0.1525974025974026,0.12,0.7863829787234042
llama7b,nativo,8,8.0,mtbm_n8_l8,2,UNSTABLE,http://127.0.0.1:8308,34,6,28,28,0.17647058823529413,4352,768,768,0.17647058823529413,0.0,0.0,0.8235294117647058,21692.7189277485,24715.234267059714,24715.234267059714,66.07959849583938,0.11038961038961038,0.12,1.0870588235294119
llama7b,nativo,8,8.0,mtbm_n8_l8,3,UNSTABLE,http://127.0.0.1:8301,41,6,35,35,0.14634146341463414,5248,768,768,0.14634146341463414,0.0,0.0,0.8536585365853658,24295.104869175702,25013.01177125424,25013.01177125424,66.52386454997335,0.1331168831168831,0.12,0.9014634146341464
llama7b,nativo,8,8.0,mtbm_n8_l8,3,UNSTABLE,http://127.0.0.1:8302,29,6,23,23,0.20689655172413793,3712,768,768,0.20689655172413793,0.0,0.034482758620689655,0.7931034482758621,23745.022451970726,25062.882066704333,25062.882066704333,66.30391085623052,0.09415584415584416,0.12,1.2744827586206895
llama7b,nativo,8,8.0,mtbm_n8_l8,3,UNSTABLE,http://127.0.0.1:8303,31,7,24,24,0.22580645161290322,3968,896,896,0.22580645161290322,0.03225806451612903,0.03225806451612903,0.7741935483870968,22326.564808841795,24916.1819498986,24916.1819498986,65.8279299061364,0.10064935064935066,0.14,1.390967741935484
llama7b,nativo,8,8.0,mtbm_n8_l8,3,UNSTABLE,http://127.0.0.1:8304,43,6,37,37,0.13953488372093023,5504,768,768,0.13953488372093023,0.0,0.0,0.8604651162790697,23787.182989995927,24902.252993080765,24902.252993080765,66.55345887209721,0.1396103896103896,0.12,0.8595348837209302
llama7b,nativo,8,8.0,mtbm_n8_l8,3,UNSTABLE,http://127.0.0.1:8305,45,6,39,39,0.13333333333333333,5760,768,768,0.13333333333333333,0.0,0.0,0.8666666666666667,23947.554292157292,24799.100515898317,24799.100515898317,66.32858725250001,0.1461038961038961,0.12,0.8213333333333334
llama7b,nativo,8,8.0,mtbm_n8_l8,3,UNSTABLE,http://127.0.0.1:8306,38,7,31,31,0.18421052631578946,4864,896,896,0.18421052631578946,0.02631578947368421,0.02631578947368421,0.8157894736842105,22267.33643375337,24984.556447714567,24984.556447714567,65.96697569920087,0.12337662337662338,0.14,1.1347368421052633
llama7b,nativo,8,8.0,mtbm_n8_l8,3,UNSTABLE,http://127.0.0.1:8307,47,6,41,41,0.1276595744680851,6016,768,768,0.1276595744680851,0.0,0.0,0.8723404255319149,24297.952122986317,25031.653048936278,25031.653048936278,66.41775601374822,0.1525974025974026,0.12,0.7863829787234042
llama7b,nativo,8,8.0,mtbm_n8_l8,3,UNSTABLE,http://127.0.0.1:8308,34,6,28,28,0.17647058823529413,4352,768,768,0.17647058823529413,0.0,0.0,0.8235294117647058,21688.301174901426,24731.60533607006,24731.60533607006,66.47059034673482,0.11038961038961038,0.12,1.0870588235294119
llama7b,gusto,2,1.0,mt_ucx_n2_l1.0,1,STABLE,http://127.0.0.1:8201,14,14,0,0,1.0,1792,1792,1792,1.0,0.7857142857142857,1.0,0.0,190.322058275342,1318.9054471440613,1318.9054471440613,10.732791969537969,0.4666666666666667,0.4666666666666667,1.0
llama7b,gusto,2,1.0,mt_ucx_n2_l1.0,1,STABLE,http://127.0.0.1:8202,16,16,0,0,1.0,2048,2048,2048,1.0,0.8125,1.0,0.0,186.06217205524445,1688.417684752494,1688.417684752494,9.547952140908777,0.5333333333333333,0.5333333333333333,1.0
llama7b,nativo,2,1.0,mtbm_n2_l1.0,1,STABLE,http://127.0.0.1:8301,14,14,0,0,1.0,1792,1792,1792,1.0,0.6428571428571429,1.0,0.0,735.0433031097054,2647.580675780773,2647.580675780773,14.639984992310756,0.4666666666666667,0.4666666666666667,1.0
llama7b,nativo,2,1.0,mtbm_n2_l1.0,1,STABLE,http://127.0.0.1:8302,16,16,0,0,1.0,2048,2048,2048,1.0,0.6875,1.0,0.0,265.53833531215787,3078.642343170941,3078.642343170941,11.43924883515464,0.5333333333333333,0.5333333333333333,1.0
llama7b,gusto,4,1.0,mt_ucx_n4_l1.0,1,STABLE,http://127.0.0.1:8201,8,8,0,0,1.0,1024,1024,1024,1.0,0.875,1.0,0.0,454.1125544346869,1539.978913962841,1539.978913962841,10.703773234098211,0.26666666666666666,0.26666666666666666,1.0
llama7b,gusto,4,1.0,mt_ucx_n4_l1.0,1,STABLE,http://127.0.0.1:8202,6,6,0,0,1.0,768,768,768,1.0,1.0,1.0,0.0,188.90808010473847,452.7570279315114,452.7570279315114,11.79135996320351,0.2,0.2,1.0
llama7b,gusto,4,1.0,mt_ucx_n4_l1.0,1,STABLE,http://127.0.0.1:8203,6,6,0,0,1.0,768,768,768,1.0,0.8333333333333334,1.0,0.0,450.407222378999,1444.5922668091953,1444.5922668091953,11.159472699152438,0.2,0.2,1.0
llama7b,gusto,4,1.0,mt_ucx_n4_l1.0,1,STABLE,http://127.0.0.1:8204,10,10,0,0,1.0,1280,1280,1280,1.0,1.0,1.0,0.0,120.34803489223123,460.43363539502025,460.43363539502025,8.234245431294122,0.3333333333333333,0.3333333333333333,1.0
llama7b,nativo,4,1.0,mtbm_n4_l1.0,1,STABLE,http://127.0.0.1:8301,8,8,0,0,1.0,1024,1024,1024,1.0,0.75,1.0,0.0,910.9479449689388,2992.5452806055546,2992.5452806055546,18.32235401026963,0.26666666666666666,0.26666666666666666,1.0
llama7b,nativo,4,1.0,mtbm_n4_l1.0,1,STABLE,http://127.0.0.1:8302,6,6,0,0,1.0,768,768,768,1.0,0.8333333333333334,1.0,0.0,42.04369708895683,1732.6514082960784,1732.6514082960784,17.18496547747902,0.2,0.2,1.0
llama7b,nativo,4,1.0,mtbm_n4_l1.0,1,STABLE,http://127.0.0.1:8303,6,6,0,0,1.0,768,768,768,1.0,0.6666666666666666,1.0,0.0,263.5736740194261,1653.2945516519248,1653.2945516519248,14.881021394504337,0.2,0.2,1.0
llama7b,nativo,4,1.0,mtbm_n4_l1.0,1,STABLE,http://127.0.0.1:8304,10,10,0,0,1.0,1280,1280,1280,1.0,0.9,1.0,0.0,40.29037896543741,2268.9105477184057,2268.9105477184057,10.614416598687022,0.3333333333333333,0.3333333333333333,1.0
llama7b,gusto,8,1.0,mt_ucx_n8_l1.0,1,STABLE,http://127.0.0.1:8201,5,5,0,0,1.0,640,640,640,1.0,1.0,1.0,0.0,446.9516729004681,962.3406790196896,962.3406790196896,8.320846213541163,0.16666666666666666,0.16666666666666666,1.0
llama7b,gusto,8,1.0,mt_ucx_n8_l1.0,1,STABLE,http://127.0.0.1:8202,3,3,0,0,1.0,384,384,384,1.0,1.0,1.0,0.0,76.29559095948935,523.583463858813,523.583463858813,12.276960188508268,0.1,0.1,1.0
llama7b,gusto,8,1.0,mt_ucx_n8_l1.0,1,STABLE,http://127.0.0.1:8203,2,2,0,0,1.0,256,256,256,1.0,1.0,1.0,0.0,420.50028918311,420.50028918311,420.50028918311,14.205362732104195,0.06666666666666667,0.06666666666666667,1.0
llama7b,gusto,8,1.0,mt_ucx_n8_l1.0,1,STABLE,http://127.0.0.1:8204,4,4,0,0,1.0,512,512,512,1.0,1.0,1.0,0.0,191.14444684237242,194.34263417497277,194.34263417497277,10.897995588758329,0.13333333333333333,0.13333333333333333,1.0
