system,N,lam,rep,goodput,ttft_p95,pct_1s,timeouts,worst_tenant_1s,tenants_con_demanda,goodput_bruto,estable
bm,8,0.5,3,59.7,896.0,100.0,0,100.0,6,64.0,STABLE
bm,8,0.75,1,81.1,903.0,100.0,0,100.0,7,85.3,STABLE
bm,8,0.75,2,51.2,1193.0,91.7,0,75.0,6,55.5,STABLE
bm,8,0.75,3,81.1,1276.0,94.7,0,66.66666666666667,8,89.6,STABLE
bm,8,1.0,1,98.1,903.0,100.0,0,75.0,8,128.0,STABLE
bm,8,1.0,2,59.7,1929.0,92.9,0,75.0,6,64.0,STABLE
bm,8,1.0,3,119.5,4803.0,78.6,0,50.0,8,157.9,STABLE
bm,8,1.5,1,115.2,6669.0,40.7,1,9.090909090909092,8,226.1,UNSTABLE
bm,8,1.5,2,106.7,4001.0,80.0,0,33.333333333333336,8,140.8,STABLE
bm,8,1.5,3,119.5,13577.0,35.7,3,0.0,8,217.6,UNSTABLE
bm,8,2.0,1,119.5,14881.0,25.0,17,0.0,8,226.1,UNSTABLE
bm,8,2.0,2,119.5,4980.0,60.7,1,25.0,8,204.8,UNSTABLE
bm,8,2.0,3,115.2,16045.0,18.5,16,0.0,8,230.4,UNSTABLE
ucx,2,0.25,1,29.9,588.0,100.0,0,100.0,2,34.1,STABLE
ucx,2,0.25,2,21.3,193.0,100.0,0,100.0,2,25.6,STABLE
ucx,2,0.25,3,42.7,287.0,100.0,0,100.0,2,46.9,STABLE
ucx,2,0.5,1,55.5,936.0,100.0,0,100.0,2,59.7,STABLE
ucx,2,0.5,2,29.9,186.0,100.0,0,100.0,2,38.4,STABLE
ucx,2,0.5,3,55.5,1187.0,92.3,0,87.5,2,59.7,STABLE
ucx,2,0.75,1,81.1,1347.0,94.7,0,91.66666666666667,2,85.3,STABLE
ucx,2,0.75,2,51.2,1065.0,91.7,0,83.33333333333333,2,55.5,STABLE
ucx,2,0.75,3,76.8,1367.0,88.9,0,88.88888888888889,2,85.3,STABLE
ucx,2,1.0,1,115.2,1446.0,85.2,0,78.57142857142857,2,128.0,STABLE
ucx,2,1.0,2,59.7,1920.0,92.9,0,83.33333333333333,2,64.0,STABLE
ucx,2,1.0,3,115.2,2280.0,51.9,0,43.75,2,140.8,STABLE
ucx,2,1.5,1,149.3,7984.0,20.0,0,8.0,2,213.3,STABLE
ucx,2,1.5,2,115.2,3312.0,66.7,0,50.0,2,140.8,STABLE
ucx,2,1.5,3,149.3,10156.0,2.9,0,0.0,2,209.1,STABLE
ucx,2,2.0,1,149.3,14039.0,0.0,2,0.0,2,277.3,UNSTABLE
ucx,2,2.0,2,140.8,7763.0,36.4,0,13.636363636363637,2,204.8,STABLE
ucx,2,2.0,3,149.3,16500.0,0.0,3,0.0,2,273.1,UNSTABLE
ucx,4,0.25,1,29.9,190.0,100.0,0,100.0,4,34.1,STABLE
ucx,4,0.25,2,21.3,195.0,100.0,0,100.0,4,25.6,STABLE
ucx,4,0.25,3,42.7,287.0,100.0,0,100.0,4,46.9,STABLE
ucx,4,0.5,1,55.5,936.0,100.0,0,100.0,4,59.7,STABLE
ucx,4,0.5,2,29.9,192.0,100.0,0,100.0,4,38.4,STABLE
ucx,4,0.5,3,55.5,1190.0,92.3,0,83.33333333333333,4,59.7,STABLE
