label,mode,n_servers,conc_per,rate,window,npred,completed,offered,fail,timeout,goodput,reqps,eff_batch,deferred,ttft_p50,ttft_p95,ttft_p99,tpot_p50,tpot_p95,tpot_p99,slogp_1s,slogp_2s,slogp_5s,pct_slo_1s,pct_slo_2s,pct_slo_5s,backlog_start,backlog_end,max_inflight,jain,stable
slo_bm_n2_l0.75_r1,open,2,1,0.75,30,128,20,19,0,0,85.3,0.67,0.69,0.09,23,1532,1532,7.0,15.7,15.7,81,85,85,95,100,100,0,1,3,0.962,STABLE
slo_ucx_n2_l0.5_r1,open,2,1,0.50,30,128,14,14,0,0,59.7,0.47,0.42,0.03,31,936,936,7.2,8.2,12.8,60,60,60,100,100,100,0,1,2,1.000,STABLE
slo_ucx_n2_l1.5_r1,open,2,1,1.50,30,128,50,48,0,0,213.3,1.67,1.90,4.97,4534,10454,10809,12.8,12.9,14.0,30,51,111,14,24,52,2,15,15,1.000,STABLE
slo_ucx_n2_l1.0_r1,open,2,1,1.00,30,128,30,29,0,0,128.0,1.00,1.15,0.32,186,1516,1712,7.2,12.9,13.8,102,128,128,80,100,100,0,2,4,0.996,STABLE
slo_ucx_n2_l0.25_r1,open,2,1,0.25,30,128,8,8,0,0,34.1,0.27,0.21,0.01,31,588,588,7.2,7.3,8.2,34,34,34,100,100,100,0,1,2,0.800,STABLE
slo_ucx_n2_l2.0_r1,open,2,1,2.00,30,128,65,63,2,2,277.3,2.17,2.00,17.65,13857,24091,24905,12.8,12.9,14.0,0,9,47,0,3,17,7,34,34,1.000,UNSTABLE
slo_ucx_n2_l0.75_r1,open,2,1,0.75,30,128,20,19,0,0,85.3,0.67,0.65,0.07,31,1347,1347,7.2,12.8,12.8,81,85,85,95,100,100,0,1,3,0.962,STABLE
slo_bm_n8_l0.75_r2,open,8,1,0.75,30,128,13,13,0,0,55.5,0.43,0.48,0.04,23,1193,1193,7.0,15.6,15.7,51,55,55,92,100,100,0,1,3,0.542,STABLE
slo_bm_n8_l1.5_r2,open,8,1,1.50,30,128,33,32,0,0,140.8,1.10,1.89,1.00,44,7254,10731,15.6,40.9,41.1,107,111,128,76,79,91,0,8,8,0.664,STABLE
slo_bm_n8_l1.0_r2,open,8,1,1.00,30,128,15,15,0,0,64.0,0.50,0.60,0.08,24,1929,1929,7.0,22.4,24.0,60,64,64,93,100,100,0,1,4,0.551,STABLE
slo_bm_n8_l0.5_r2,open,8,1,0.50,30,128,9,9,0,0,38.4,0.30,0.25,0.00,23,39,39,7.0,15.4,15.6,38,38,38,100,100,100,0,1,2,0.675,STABLE
