cell,rep,transfer,h2d_ms,h2d_GBps,device_ck_ok,host_ck_ok
strict,1,8,9.858,6.807,pass,pass
strict,1,9,9.809,6.841,pass,pass
strict,1,10,9.806,6.844,pass,pass
strict,1,11,9.883,6.790,pass,pass
strict,1,12,9.884,6.789,pass,pass
strict,1,13,9.919,6.766,pass,pass
strict,1,14,9.847,6.815,pass,pass
strict,1,15,9.839,6.821,pass,pass
strict,1,16,9.921,6.764,pass,pass
strict,6,1,161.460,0.416,pass,pass
strict,6,2,10.283,6.526,pass,pass
strict,6,3,9.806,6.843,pass,pass
strict,6,4,9.772,6.868,pass,pass
strict,6,5,9.793,6.853,pass,pass
strict,6,6,9.728,6.898,pass,pass
strict,6,7,9.777,6.864,pass,pass
strict,6,8,9.840,6.820,pass,pass
strict,6,9,9.901,6.778,pass,pass
strict,6,10,9.823,6.832,pass,pass
strict,6,11,9.921,6.765,pass,pass
strict,6,12,9.826,6.829,pass,pass
strict,6,13,9.826,6.829,pass,pass
strict,6,14,9.836,6.823,pass,pass
strict,6,15,9.816,6.836,pass,pass
strict,6,16,9.892,6.784,pass,pass
assume,1,1,161.911,0.414,pass,pass
assume,1,2,9.175,7.314,pass,pass
assume,1,3,2.967,22.615,pass,pass
assume,1,4,2.936,22.859,pass,pass
assume,1,5,2.931,22.899,pass,pass
assume,1,6,2.939,22.835,pass,pass
assume,1,7,2.936,22.861,pass,pass
assume,1,8,2.936,22.857,pass,pass
assume,1,9,2.936,22.858,pass,pass
assume,1,10,2.939,22.834,pass,pass
assume,1,11,2.939,22.834,pass,pass
assume,1,12,2.943,22.801,pass,pass
assume,1,13,2.933,22.877,pass,pass
assume,1,14,2.935,22.867,pass,pass
assume,1,15,2.938,22.841,pass,pass
assume,1,16,2.929,22.912,pass,pass
assume,6,1,160.237,0.419,pass,pass
assume,6,2,8.659,7.750,pass,pass
assume,6,3,2.964,22.639,pass,pass
assume,6,4,2.937,22.850,pass,pass
assume,6,5,2.941,22.820,pass,pass
assume,6,6,2.958,22.688,pass,pass
assume,6,7,2.947,22.771,pass,pass
assume,6,8,2.948,22.767,pass,pass
assume,6,9,2.953,22.725,pass,pass
assume,6,10,2.947,22.775,pass,pass
assume,6,11,2.938,22.840,pass,pass
assume,6,12,2.945,22.787,pass,pass
assume,6,13,2.944,22.793,pass,pass
assume,6,14,2.938,22.845,pass,pass
assume,6,15,2.943,22.803,pass,pass
assume,6,16,2.949,22.759,pass,pass
strict,3,1,160.699,0.418,pass,pass
strict,3,2,10.292,6.520,pass,pass
strict,3,3,9.729,6.898,pass,pass
strict,3,4,9.778,6.863,pass,pass
strict,3,5,9.708,6.913,pass,pass
strict,3,6,9.787,6.857,pass,pass
strict,3,7,9.713,6.909,pass,pass
strict,3,8,9.757,6.878,pass,pass
strict,3,9,9.782,6.860,pass,pass
strict,3,10,9.854,6.810,pass,pass
strict,3,11,9.692,6.924,pass,pass
strict,3,12,9.683,6.931,pass,pass
strict,3,13,9.709,6.912,pass,pass
strict,3,14,9.777,6.864,pass,pass
strict,3,15,9.722,6.903,pass,pass
strict,3,16,9.720,6.904,pass,pass
fence,3,1,161.638,0.415,pass,pass
fence,3,2,8.779,7.644,pass,pass
fence,3,3,2.971,22.586,pass,pass
fence,3,4,2.935,22.863,pass,pass
fence,3,5,2.936,22.858,pass,pass
fence,3,6,2.937,22.853,pass,pass
fence,3,7,2.938,22.840,pass,pass
fence,3,8,2.938,22.840,pass,pass
fence,3,9,2.940,22.827,pass,pass
fence,3,10,2.942,22.814,pass,pass
fence,3,11,2.945,22.786,pass,pass
fence,3,12,2.940,22.824,pass,pass
fence,3,13,2.933,22.879,pass,pass
fence,3,14,2.932,22.891,pass,pass
fence,3,15,2.939,22.834,pass,pass
fence,3,16,2.937,22.850,pass,pass
fence,4,1,160.945,0.417,pass,pass
fence,4,2,9.300,7.216,pass,pass
fence,4,3,2.958,22.690,pass,pass
fence,4,4,2.946,22.779,pass,pass
fence,4,5,2.945,22.788,pass,pass
fence,4,6,2.941,22.815,pass,pass
fence,4,7,2.928,22.921,pass,pass
fence,4,8,2.957,22.698,pass,pass
fence,4,9,2.959,22.681,pass,pass
fence,4,10,2.955,22.710,pass,pass
fence,4,11,2.957,22.692,pass,pass
fence,4,12,2.954,22.720,pass,pass
fence,4,13,2.948,22.763,pass,pass
fence,4,14,2.949,22.755,pass,pass
fence,4,15,2.955,22.710,pass,pass
fence,4,16,2.948,22.764,pass,pass
flush,4,1,161.524,0.415,pass,pass
flush,4,2,8.695,7.718,pass,pass
flush,4,3,2.964,22.640,pass,pass
flush,4,4,2.939,22.834,pass,pass
flush,4,5,2.939,22.831,pass,pass
flush,4,6,2.936,22.858,pass,pass
flush,4,7,2.933,22.879,pass,pass
flush,4,8,2.942,22.812,pass,pass
flush,4,9,2.944,22.793,pass,pass
flush,4,10,2.943,22.804,pass,pass
flush,4,11,2.935,22.867,pass,pass
flush,4,12,2.938,22.844,pass,pass
flush,4,13,2.939,22.835,pass,pass
flush,4,14,2.942,22.814,pass,pass
flush,4,15,2.936,22.857,pass,pass
flush,4,16,2.940,22.826,pass,pass
strict,5,1,160.582,0.418,pass,pass
strict,5,2,9.895,6.782,pass,pass
strict,5,3,9.815,6.838,pass,pass
strict,5,4,9.861,6.805,pass,pass
strict,5,5,9.892,6.784,pass,pass
strict,5,6,9.829,6.827,pass,pass
strict,5,7,9.865,6.803,pass,pass
strict,5,8,9.840,6.820,pass,pass
strict,5,9,9.936,6.754,pass,pass
strict,5,10,9.899,6.779,pass,pass
strict,5,11,9.882,6.791,pass,pass
strict,5,12,9.855,6.810,pass,pass
strict,5,13,9.906,6.774,pass,pass
strict,5,14,9.834,6.824,pass,pass
strict,5,15,9.825,6.830,pass,pass
strict,5,16,9.831,6.826,pass,pass
fence,6,1,161.266,0.416,pass,pass
fence,6,2,8.754,7.666,pass,pass
fence,6,3,2.972,22.583,pass,pass
fence,6,4,2.937,22.846,pass,pass
fence,6,5,2.940,22.827,pass,pass
fence,6,6,2.942,22.809,pass,pass
fence,6,7,2.943,22.806,pass,pass
fence,6,8,2.948,22.765,pass,pass
