routine,payload_bytes,rt_us,server_us
cudaRegisterFunction,235,68,0
cudaRegisterFunction,235,61,0
cudaRegisterFunction,197,68,0
cudaRegisterFunction,197,61,0
cudaRegisterFunction,197,60,0
cudaRegisterFunction,235,58,0
cudaRegisterFunction,235,60,0
cudaRegisterFunction,235,58,0
cudaRegisterFunction,235,64,0
cudaRegisterFunction,197,57,0
cudaRegisterFunction,197,57,0
cudaRegisterFunction,197,63,0
cudaRegisterFunction,235,66,0
cudaRegisterFunction,235,68,0
cudaRegisterFunction,235,61,0
cudaRegisterFunction,235,64,0
cudaRegisterFunction,197,62,0
cudaRegisterFunction,197,59,0
cudaRegisterFunction,197,53,0
cudaRegisterVar,189,57,0
cudaRegisterVar,122,57,0
cudaRegisterVar,114,59,0
cudaRegisterVar,2168,65,0
cudaRegisterVar,6262,56,0
cudaRegisterVar,14452,75,0
cudaRegisterVar,15480,70,0
cudaRegisterVar,17524,85,0
cudaRegisterVar,17548,74,0
cudaRegisterVar,120,70,0
cudaRegisterVar,124,65,0
cudaRegisterFatBinaryEnd,277503,250,0
cudaRegisterFatBinary,69431,196,0
cudaRegisterFunction,221,68,0
cudaRegisterVar,219,56,0
cudaRegisterVar,122,57,0
cudaRegisterVar,114,69,0
cudaRegisterVar,2168,67,0
cudaRegisterVar,6262,67,0
cudaRegisterVar,14452,70,0
cudaRegisterVar,15480,75,0
cudaRegisterVar,17524,69,0
cudaRegisterVar,17548,69,0
cudaRegisterVar,120,57,0
cudaRegisterVar,124,61,0
cudaRegisterFatBinaryEnd,69431,155,0
cudaRegisterFatBinary,80791,234,0
cudaRegisterFunction,241,72,0
cudaRegisterFunction,241,66,0
cudaRegisterVar,190,60,0
cudaRegisterVar,122,68,0
cudaRegisterVar,114,64,0
cudaRegisterVar,2168,62,0
cudaRegisterVar,6262,59,0
cudaRegisterVar,14452,65,0
cudaRegisterVar,15480,62,0
cudaRegisterVar,17524,60,0
cudaRegisterVar,17548,67,0
cudaRegisterVar,120,63,0
